Region/Country/Area,Year,Expenditure by level of education: primary (as % of government expenditure),Expenditure by level of education: secondary (as % of government expenditure),Expenditure by level of education: tertiary (as % of government expenditure),Public expenditure on education (% of GDP),GDP in current prices (millions of US dollars),GDP per capita (US dollars),Population mid-year estimates (millions),Students enrolled in primary education (thousands),Students enrolled in secondary education (thousands),Students enrolled in tertiary education (thousands)
Afghanistan,2010,62.1365,26.6937,9.0322,3.462,"16,078",558,29.1855,"5,279.33","2,044.16",
Afghanistan,2015,56.6955,24.3563,15.9538,3.242,"20,608",611,,"6,333.70","2,698.82",
Afghanistan,2017,44.1906,22.2537,,3.9268,"21,993",619,36.2961,"6,358.78","2,907.80",
Albania,2015,56.7669,21.5817,21.156,3.438,"11,387","3,895",,188.371,315.079,160.527
Andorra,2005,24.1359,20.6186,3.8825,1.5965,"3,256","41,281",0.0789,4.085,3.737,0.342
Andorra,2010,28.8952,20.9346,3.8613,3.0574,"3,355","39,734",0.0844,4.367,4.059,
Andorra,2017,22.0479,24.7644,5.6752,3.1956,"3,013","39,153",0.077,4.263,4.492,0.59
Angola,2005,36.4988,55.2176,8.2836,2.7762,"36,971","1,891",19.4336,,,48.184
Angola,2006,31.4335,42.4243,8.7012,2.8597,,,,,,48.694
Anguilla,2005,28.5042,51.2568,18.3021,2.9545,229,"18,129",0.0126,1.449,1.024,0.033
Anguilla,2008,39.4499,56.0897,2.8498,2.8426,,,,1.61,1.008,0.054
Antigua and Barbuda,2002,28.5517,35.1522,6.7188,3.3943,,,,,,
Antigua and Barbuda,2009,41.6132,48.3925,7.3531,2.5172,,,,,,
Argentina,2004,36.6955,37.7991,17.2048,3.4865,,,,,,
Argentina,2005,34.1957,41.6871,16.242,3.86,"200,622","5,125",38.8929,"4,872.89","3,884.32","2,082.58"
Argentina,2010,33.0549,39.65,19.8581,5.0197,"426,487","10,346",40.8958,"4,947.11","4,213.14","2,520.99"
Argentina,2016,30.074,40.9361,20.3676,5.5722,"554,862","12,654",,"4,775.78","4,583.00","3,061.14"
Armenia,2016,20.6657,51.0743,13.184,2.7581,"10,546","3,606",,,,
Aruba,2005,26.7322,26.7684,11.4853,4.6808,"2,331","23,303",0.1,10.25,7.116,2.106
Aruba,2016,27.5259,33.2456,18.3915,6.1432,"2,647","25,252",,,,1.191
Australia,2000,34.0679,38.5898,23.4199,4.8937,,,,,,
Australia,2005,34.6246,39.7121,22.195,4.9157,"760,397","37,571",20.1785,"1,934.94",,
Australia,2010,36.807,36.7889,22.2766,5.5592,"1,297,259","58,646",22.1547,"2,015.02",,
Australia,2015,31.7843,30.5254,28.8554,5.3218,"1,246,800","52,388",,"2,140.57","2,709.32","1,903.45"
Austria,2005,18.9953,45.9373,27.2828,5.2494,"315,967","38,282",8.2537,362.822,781.292,
Austria,2010,17.1328,44.3599,27.7145,5.7005,"391,893","46,599",8.4099,328.015,743.709,385.499
Austria,2015,16.5679,39.8774,32.6336,5.453,"381,806","43,994",,327.8168,691.0713,425.9717
Bahrain,2013,32.0718,43.4031,24.4047,2.4769,,,,,,
Bahrain,2015,32.9869,44.2246,,2.6681,"31,126","22,689",,108.154,92.454,38.901
Bangladesh,2004,39.9873,48.4707,11.5421,1.9401,,,,,,
Bangladesh,2009,44.728,40.2057,13.5014,1.9394,,,,"16,539.39","10,907.07","1,582.18"
Bangladesh,2012,44.6029,39.0991,14.7335,2.1755,,,,,,
Barbados,2005,27.8938,31.6959,31.5778,5.557,"3,897","14,223",0.2763,22.249,21.418,
Barbados,2008,36.8566,29.3694,30.0896,5.0861,,,,,,
Barbados,2016,29.6064,39.3067,31.0869,5.0927,"4,572","16,043",,,,
Belgium,2013,23.3524,42.1315,21.8438,,,,,,,
Belgium,2015,23.5356,,22.1288,6.5524,"455,838","40,383",,782.606,"1,217.91",504.745
Belize,2004,42.6461,39.158,10.7675,5.2993,,,,,,
Belize,2010,46.0529,41.1291,8.666,6.621,"1,397","4,344",0.3225,52.65,32.78,7.008
Belize,2017,31.7646,40.988,10.9318,7.0874,"1,902","5,077",0.3758,51.512,39.756,9.425
Benin,2001,55.3743,25.1031,18.3195,3.2324,,,,"1,054.94",256.744,28.075
Benin,2005,45.97,32.8272,21.2029,3.6308,"4,804",602,7.9822,"1,318.14",,42.197
Benin,2010,52.8256,27.9825,15.6043,5.0293,"6,970",758,9.1993,"1,787.94",,114.382
Benin,2015,49.8087,23.7353,22.149,4.3564,"8,454",799,,"2,238.19",963.787,131.299
Bermuda,2005,40.7473,52.285,,1.9888,"4,868","74,745",0.0651,4.76,4.756,
Bermuda,2010,30.8448,45.4173,13.4838,2.6442,"5,853","91,516",0.064,4.473,4.418,1.269
